Game Name,Player Count,Daily Highest Player Count,Price,Tags
Crusader Kings III,"10,586","19,389","₩ 55,000","Strategy, Medieval, Grand Strategy, Simulation, , , , "
OBS Studio,"10,290","17,837",Free To Play,"Software, Video Production, Utilities, Free to Play, , , , "
Elin,"10,152","16,445","₩ 26,500","Early Access, Character Customization, , Open World, , , , "
"Path of Exile
(not available in your region)","10,090","18,583",,
ARK: Survival Ascended,"10,025","15,796","₩ 61,000","Early Access, Survival, Open World, Multiplayer, , , , "
MONSTER HUNTER RISE,"9,930","22,937","-75%
₩ 44,800
₩ 11,200","Action, RPG, Hunting, Online Co-Op, , , , Co-op"
Slay the Spire,"9,570","14,614","₩ 27,000","Roguelike Deckbuilder, Card Game, Card Battler, , , , , "
Stellaris,"9,499","14,389","₩ 44,000","Space, Grand Strategy, Strategy, Sci-fi, 4X, , , "
VPet-Simulator,"9,510","12,124",Free To Play,"Free to Play, Cute, Anime, Sexual Content, , , , "
The Witcher 3: Wild Hunt,"9,501","17,908","₩ 34,800",
Europa Universalis IV,"9,318","16,634","₩ 55,000","Grand Strategy, Strategy, Historical, Simulation, , , , "
Luma Island,"9,282","14,823","NEW
-20%
₩ 20,500
₩ 16,400","RPG, Co-op, Simulation, Adventure, , Mining, , "
STALCRAFT: X,"9,521","18,674",Free To Play,"Free to Play, FPS, MMORPG, Multiplayer, , , , "
Warhammer: Vermintide 2,"9,151","20,794","-95%
₩ 32,000
₩ 1,600","Games Workshop, Dark Fantasy, Co-op, , , Gore, , "
Cookie Clicker,"9,096","11,111","₩ 5,600","Clicker, Idler, Casual, Indie, Pixel Graphics, , , "
Cities: Skylines,"9,067","14,164","₩ 33,000","City Builder, Simulation, Building, Management, , , , "
Dark and Darker,"8,942","14,546",Free To Play,
